GENDER,AGE_GRP,INCOME,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,MVMN,WEEKEND_INCLUDED,SEASON,TOTAL_COST,TRAVEL_COMPANIONS_NUM,TRAVEL_DAY,TOTAL_AMT,TOTAL_LODGE,TOTAL_MVMN,lat_start,lon_start,lat_dest,lon_dest
여,40,4,서울,인천,자가용,1,여름,311479.6,1.4,3.0,187780.0,81319.6,42380.0,37.566826004661,126.978652258309,37.4560044656444,126.705258070068
여,40,4,서울,전북,대중교통 등,1,여름,12900.0,3.0,2.0,10000.0,0.0,2900.0,37.566826004661,126.978652258309,35.8201963639272,127.108976712011
여,40,4,서울,전북,자가용,1,가을,625946.666666667,2.0,3.66666666666667,417413.333333333,117333.333333333,91200.0,37.566826004661,126.978652258309,35.8201963639272,127.108976712011
여,40,4,서울,제주,대중교통 등,1,가을,778961.387283237,1.07514450867052,5.34104046242775,220994.219653179,372697.803468208,185269.36416185,37.566826004661,126.978652258309,33.4889179032603,126.498229141199
여,40,4,서울,제주,대중교통 등,1,여름,638784.0,0.0,6.0,294900.0,207984.0,135900.0,37.566826004661,126.978652258309,33.4889179032603,126.498229141199
여,40,4,서울,제주,렌탈,1,가을,1146795.74468085,1.65957446808511,4.0,265800.0,406887.234042553,474108.510638298,37.566826004661,126.978652258309,33.4889179032603,126.498229141199
여,40,4,서울,제주,렌탈,1,여름,662280.0,2.0,4.0,271880.0,150000.0,240400.0,37.566826004661,126.978652258309,33.4889179032603,126.498229141199
여,40,4,서울,제주,자가용,1,가을,1375613.04347826,4.97826086956522,3.95652173913043,1120967.39130435,138776.086956522,115869.565217391,37.566826004661,126.978652258309,33.4889179032603,126.498229141199
여,40,4,서울,충남,대중교통 등,0,가을,61650.0,0.0,2.0,49800.0,0.0,11850.0,37.566826004661,126.978652258309,36.6588292532864,126.672776193822
여,40,4,서울,충남,렌탈,1,가을,93600.0,0.0,2.0,15000.0,0.0,78600.0,37.566826004661,126.978652258309,36.6588292532864,126.672776193822
여,40,4,서울,충남,자가용,0,가을,267528.571428571,1.64285714285714,2.35714285714286,180157.142857143,43871.4285714286,43500.0,37.566826004661,126.978652258309,36.6588292532864,126.672776193822
여,40,4,서울,충북,대중교통 등,1,가을,100183.333333333,0.0,2.0,52083.3333333333,0.0,48100.0,37.566826004661,126.978652258309,36.6353581959954,127.491457326501
여,40,4,서울,충북,자가용,1,가을,339460.0,2.0,3.0,163500.0,126100.0,49860.0,37.566826004661,126.978652258309,36.6353581959954,127.491457326501
여,40,4,서울,충북,자가용,1,여름,491200.0,2.0,3.0,248200.0,150000.0,93000.0,37.566826004661,126.978652258309,36.6353581959954,127.491457326501
여,40,4,세종,경남,자가용,1,여름,783930.0,1.0,4.0,108430.0,656000.0,19500.0,36.4800649113762,127.289195324698,35.2377742104522,128.69189688916
여,40,4,세종,제주,대중교통 등,1,가을,1667864.0,3.0,4.0,393100.0,747164.0,527600.0,36.4800649113762,127.289195324698,33.4889179032603,126.498229141199
여,40,4,세종,충북,자가용,1,가을,106933.333333333,3.0,2.66666666666667,62200.0,0.0,44733.3333333333,36.4800649113762,127.289195324698,36.6353581959954,127.491457326501
여,40,4,울산,경남,자가용,0,가을,97800.0,3.0,2.0,91000.0,0.0,6800.0,35.5395955247058,129.311603446508,35.2377742104522,128.69189688916
여,40,4,울산,전북,자가용,1,여름,361900.0,2.0,5.0,228500.0,0.0,133400.0,35.5395955247058,129.311603446508,35.8201963639272,127.108976712011
여,40,4,인천,강원,대중교통 등,1,가을,210000.0,2.0,2.0,0.0,0.0,210000.0,37.4560044656444,126.705258070068,37.8853257858209,127.729829010354
여,40,4,인천,강원,자가용,1,가을,544100.0,3.0,3.0,284100.0,170000.0,90000.0,37.4560044656444,126.705258070068,37.8853257858209,127.729829010354
여,40,4,인천,경기,자가용,1,가을,32000.0,0.0,2.0,32000.0,0.0,0.0,37.4560044656444,126.705258070068,37.2749769872425,127.00892996953
여,40,4,인천,서울,대중교통 등,0,가을,16500.0,0.0,2.0,16500.0,0.0,0.0,37.4560044656444,126.705258070068,37.566826004661,126.978652258309
여,40,4,인천,서울,대중교통 등,1,가을,60000.0,1.0,2.0,51000.0,0.0,9000.0,37.4560044656444,126.705258070068,37.566826004661,126.978652258309
여,40,4,인천,서울,자가용,0,가을,104300.0,1.0,2.0,44200.0,0.0,60100.0,37.4560044656444,126.705258070068,37.566826004661,126.978652258309
여,40,4,인천,전북,대중교통 등,1,가을,216000.0,1.0,2.0,49000.0,0.0,167000.0,37.4560044656444,126.705258070068,35.8201963639272,127.108976712011
여,40,4,전남,광주,자가용,1,가을,50000.0,1.0,2.0,50000.0,0.0,0.0,34.8160821478848,126.462788333376,37.4293941934866,127.255138719721
여,40,4,전남,전남,자가용,1,가을,106518.181818182,0.181818181818182,2.18181818181818,63818.1818181818,0.0,42700.0,34.8160821478848,126.462788333376,34.8160821478848,126.462788333376
여,40,4,전남,전북,자가용,1,가을,576000.0,3.0,3.0,512000.0,0.0,64000.0,34.8160821478848,126.462788333376,35.8201963639272,127.108976712011
여,40,4,전북,경기,자가용,1,가을,315900.0,2.0,2.0,285900.0,0.0,30000.0,35.8201963639272,127.108976712011,37.2749769872425,127.00892996953
여,40,4,전북,서울,대중교통 등,1,가을,356792.222222222,0.177777777777778,3.77777777777778,222027.777777778,76000.0,58764.4444444444,35.8201963639272,127.108976712011,37.566826004661,126.978652258309
여,40,4,전북,전남,자가용,1,가을,78000.0,4.0,2.0,48000.0,0.0,30000.0,35.8201963639272,127.108976712011,34.8160821478848,126.462788333376
여,40,4,전북,전북,자가용,1,가을,35500.0,2.0,2.0,15500.0,0.0,20000.0,35.8201963639272,127.108976712011,35.8201963639272,127.108976712011
